"FullName","Name","PSIsContainer","Length","LastWriteTime"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260608_213929.zip","FH6_CompanionDoctor_Portable_20260608_213929.zip","False","78752","6/8/2026 9:40:12 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260608_220408.zip","FH6_CompanionDoctor_Portable_20260608_220408.zip","False","85467","6/8/2026 10:05:22 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260608_220909.zip","FH6_CompanionDoctor_Portable_20260608_220909.zip","False","85492","6/8/2026 10:10:21 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260609_013648.zip","FH6_CompanionDoctor_Portable_20260609_013648.zip","False","93204","6/9/2026 1:38:55 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260609_060602.zip","FH6_CompanionDoctor_Portable_20260609_060602.zip","False","99335","6/9/2026 6:09:19 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260609_173334.zip","FH6_CompanionDoctor_Portable_20260609_173334.zip","False","104050","6/9/2026 5:36:28 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260609_175655.zip","FH6_CompanionDoctor_Portable_20260609_175655.zip","False","114383","6/9/2026 6:00:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Reports","FH6_CompanionDoctor_Reports","True",,"6/9/2026 6:32:51 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Sessions","FH6_CompanionDoctor_Sessions","True",,"6/9/2026 6:32:51 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots","FH6_CompanionDoctor_Snapshots","True",,"6/9/2026 6:32:51 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_191928_nogui.json","FH6_StateSnapshot_20260608_191928_nogui.json","False","196484","6/8/2026 7:19:30 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_191928_nogui.txt","FH6_StateSnapshot_20260608_191928_nogui.txt","False","2952","6/8/2026 7:19:30 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_192418_nogui.json","FH6_StateSnapshot_20260608_192418_nogui.json","False","217637","6/8/2026 7:24:22 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_192418_nogui.txt","FH6_StateSnapshot_20260608_192418_nogui.txt","False","4829","6/8/2026 7:24:23 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_192515_nogui.json","FH6_StateSnapshot_20260608_192515_nogui.json","False","217635","6/8/2026 7:25:19 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_192515_nogui.txt","FH6_StateSnapshot_20260608_192515_nogui.txt","False","4652","6/8/2026 7:25:19 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_193428_nogui.json","FH6_StateSnapshot_20260608_193428_nogui.json","False","291955","6/8/2026 7:34:35 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_193428_nogui.txt","FH6_StateSnapshot_20260608_193428_nogui.txt","False","5247","6/8/2026 7:34:35 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_200213_nogui.json","FH6_StateSnapshot_20260608_200213_nogui.json","False","403812","6/8/2026 8:02:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_200213_nogui.txt","FH6_StateSnapshot_20260608_200213_nogui.txt","False","5480","6/8/2026 8:02:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_201209_nogui.json","FH6_StateSnapshot_20260608_201209_nogui.json","False","417248","6/8/2026 8:12:23 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_201209_nogui.txt","FH6_StateSnapshot_20260608_201209_nogui.txt","False","5985","6/8/2026 8:12:23 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_201704_nogui.json","FH6_StateSnapshot_20260608_201704_nogui.json","False","431638","6/8/2026 8:17:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_201704_nogui.txt","FH6_StateSnapshot_20260608_201704_nogui.txt","False","6677","6/8/2026 8:17:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_202619_selftest.json","FH6_StateSnapshot_20260608_202619_selftest.json","False","441486","6/8/2026 8:26:46 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_202619_selftest.txt","FH6_StateSnapshot_20260608_202619_selftest.txt","False","6761","6/8/2026 8:26:46 PM"
